Task,Workload,Memory,Deadline,Weight,ArrivalTime
T1,427,13,1153.79,2,0.63
T2,252,20,635.55,4,0.85
T3,303,10,664.24,5,1.35
T4,483,15,871.83,4,2.47
T5,319,8,712.08,3,3.22
T6,167,6,305.03,5,6.04
T7,620,20,1031.56,2,7.69
T8,336,14,821.73,3,9.91
T9,118,14,238.11,3,10.11
T10,456,18,1181.47,3,12.1
T11,602,15,1127.38,2,15.16
T12,159,24,283.68,5,15.22
T13,286,8,780.55,5,34.97
T14,77,12,174.31,3,40.29
T15,240,8,716.25,1,41.11
T16,501,16,1122.33,5,42.81
T17,793,16,1557.55,3,43.69
T18,173,23,437.57,2,44.18
T19,200,15,584.17,1,44.37
T20,337,20,823.87,4,45.63
T21,74,14,198.31,2,49.92
T22,394,10,1180.95,4,53.05
T23,169,7,377.67,5,53.91
T24,144,24,475.04,2,55.59
T25,189,16,366.31,3,61.13
T26,634,21,1034.98,2,62.44
T27,162,21,428.11,4,63.11
T28,530,20,1642.06,1,63.3
T29,475,8,1371.12,4,63.5
T30,667,14,1632.1,2,65.57
T31,799,10,1753.84,3,72.17
T32,418,18,994.71,2,75.49
T33,241,6,450.32,4,78.19
T34,320,16,932.68,4,80.46
T35,766,11,2323.21,2,82.27
T36,631,15,1725.97,1,85.0
T37,75,23,202.97,2,89.23
T38,372,14,885.04,3,94.09
T39,186,14,505.01,5,94.86
T40,730,15,2140.84,4,95.0
T41,101,19,268.73,1,95.86
T42,611,17,1345.28,5,97.54
T43,314,12,1027.77,3,100.52
T44,523,7,1557.37,4,104.2
T45,672,19,1388.91,3,106.66
T46,590,12,1606.17,4,109.27
T47,753,10,1729.7,1,115.33
T48,429,17,1194.11,5,125.42
T49,779,11,1489.87,1,132.91
T50,506,15,1195.93,2,133.6
T51,391,24,1038.28,1,139.6
T52,202,7,671.22,3,144.83
T53,800,21,1348.69,2,144.84
T54,340,14,1077.3,1,146.08
T55,177,15,594.74,4,153.42
T56,388,20,985.4,1,157.63
T57,130,24,385.23,1,159.64
T58,218,19,526.28,1,159.65
T59,696,10,2052.1,4,160.55
T60,314,19,668.68,3,167.25
T61,164,16,484.59,2,169.42
T62,240,7,831.02,4,175.28
T63,107,19,349.94,4,178.83
T64,696,10,2063.71,4,181.54
T65,346,23,762.18,1,183.57
T66,99,23,353.47,4,184.69
